"LeaseLock, Inc. — Monthly Deposit Waiver Invoice"
Property: Blanco Oaks Apartments

Invoice Date,Unit,Resident,Coverage Start,Coverage End,Amount
9/1/2026,203,Stephen Castaneda,9/1/2026,9/30/2026,31
9/1/2026,208,Emily Nations,9/1/2026,9/30/2026,31
9/1/2026,301,Timothy Cheatham,9/1/2026,9/30/2026,31
9/1/2026,302,Jackelynn Pina,9/1/2026,9/30/2026,45
9/1/2026,305,Christina Kersten,9/1/2026,9/30/2026,31
9/1/2026,306,Joseph Owen,9/1/2026,9/30/2026,31
9/1/2026,401,Jaclyn VanWyngarden,9/1/2026,9/30/2026,31
9/1/2026,402,Richard Rhoades,9/1/2026,10/15/2026,46.5
9/1/2026,404,Gavin Miles,9/1/2026,9/30/2026,31
9/1/2026,405,Nathan Shea,9/1/2026,9/30/2026,31

,Total,,,,339.5
